"st"|"en"|"len"|"txt"
"00:00:01.540"|"00:00:09.850"|"8.31"|"Today, I'm going to explain a sci-fi and fantasy show called ""Love, Death &amp; Robots: Ice Age.” Spoilers ahead!"
"00:00:11.430"|"00:00:14.140"|"2.71"|"A young couple moves into their new apartment."
"00:00:14.140"|"00:00:19.850"|"5.71"|"As Rob, the husband, brings a few boxes up into the place, his wife, Gail, tells him"
"00:00:19.850"|"00:00:23.960"|"4.11"|"about a funky old refrigerator in the corner that the landlord left behind."
"00:00:23.960"|"00:00:30.420"|"6.46"|"Rob finds it fascinating, noting how the motor is above instead of underneath like refrigerators these days."
"00:00:30.420"|"00:00:35.179"|"4.76"|"Since hot air rises, he comments that it doesn’t make sense to put the motor underneath, allowing"
"00:00:35.179"|"00:00:38.479"|"3.3"|"the hot air it produces to go up the refrigerator."
"00:00:38.479"|"00:00:43.390"|"4.91"|"However, Gail barely pays attention, and she simply agrees to the things Rob says."
"00:00:43.390"|"00:00:47.699"|"4.31"|"She then brings out a bottle of wine and asks her husband if he wants to drink."
"00:00:47.699"|"00:00:50.629"|"2.93"|"Rob gets excited and opens the old fridge to get some ice."
"00:00:50.629"|"00:00:56.309"|"5.68"|"However, the freezer is bulked up with frost, but he still manages to get a little cube of ice."
"00:00:56.309"|"00:00:59.769"|"3.46"|"The couple then makes a short toast to their new life together."
"00:00:59.769"|"00:01:03.600"|"3.83"|"Before Rob could take a sip of his drink, he notices something inside the ice."
"00:01:03.600"|"00:01:09.100"|"5.5"|"He takes it out of the glass and shows it to Gail, asking her to confirm what’s inside the ice cube."
"00:01:09.100"|"00:01:12.540"|"3.44"|"Gail looks closer and becomes just as surprised as her husband."
"00:01:12.540"|"00:01:18.369"|"5.83"|"Wanting to confirm what she saw, Gail grabs a magnifying glass to inspect the ice cube closely."
"00:01:18.369"|"00:01:22.150"|"3.78"|"Surprisingly, inside it is a miniature mammoth with spears in its body."
"00:01:22.150"|"00:01:25.670"|"3.52"|"Gail wonders if there are more of these things in the freezer, so she opens it."
"00:01:25.670"|"00:01:29.650"|"3.98"|"She quickly takes out the junk inside and gets shocked by what she sees."
"00:01:29.650"|"00:01:34.540"|"4.89"|"With this, Rob takes a peek and comments there's a lost civilization in their refrigerator."
"00:01:34.540"|"00:01:38.850"|"4.31"|"True enough, the freezer contains a miniature, working medieval city."
"00:01:38.850"|"00:01:43.090"|"4.24"|"Everything inside moves so fast, with the little people going through their day normally,"
"00:01:43.090"|"00:01:46.179"|"3.09"|"unaffected by the two giants hovering near their city."
"00:01:46.179"|"00:01:51.030"|"4.85"|"In disbelief, Gail claims that what’s happening doesn’t make sense, and Rob agrees."
"00:01:51.030"|"00:01:55.280"|"4.25"|"She then clarifies that they're seeing an early medieval city when woolly mammoths died"
"00:01:55.280"|"00:01:58.090"|"2.81"|"out sometime in the late Neolithic period."
"00:01:58.090"|"00:02:01.840"|"3.75"|"Rob shrugs it off and simply agrees with his wife to hide his ignorance."
"00:02:01.840"|"00:02:05.549"|"3.71"|"Later on, Rob buries the frozen mammoth in a pot of dirt."
"00:02:05.549"|"00:02:11.050"|"5.5"|"Rob seems sad about it, so Gail lightens up the mood and says that it'll probably make for a good fertilizer."
"00:02:11.050"|"00:02:14.540"|"3.49"|"Curiosity takes over, and the two check the freezer again."
"00:02:14.540"|"00:02:17.780"|"3.24"|"To their surprise, everything has changed drastically."
"00:02:17.780"|"00:02:22.700"|"4.92"|"What used to be a medieval city is now a modernized place during the Industrial Revolution."
"00:02:22.700"|"00:02:26.760"|"4.06"|"Factories and railroads are built, covering the freezer’s sky with smoke."
"00:02:26.760"|"00:02:30.680"|"3.92"|"The couple notes that they’ve only been gone for ten minutes, but decades have already"
"00:02:30.680"|"00:02:32.700"|"2.02"|"gone by for the miniature people."
"00:02:32.700"|"00:02:37.170"|"4.47"|"With this, Gail theorizes that time moves differently inside the freezer."
"00:02:37.170"|"00:02:42.940"|"5.77"|"As they witness the Industrial Revolution at great speed, Rob is disappointed that they missed the Renaissance period."
"00:02:42.940"|"00:02:47.150"|"4.21"|"He notices two miniature men sitting by a building under construction and wonders if"
"00:02:47.150"|"00:02:49.130"|"1.98"|"the people perceive them as gods."
"00:02:49.130"|"00:02:53.700"|"4.57"|"However, the men are actually making fun of them, seeing them as weird faces in the sky"
"00:02:53.700"|"00:02:55.340"|"1.64"|"that are staring at the city."
"00:02:55.340"|"00:02:59.580"|"4.24"|"One man even comments that he's tired of seeing the broccoli that's stuck in Gail's teeth."
"00:02:59.580"|"00:03:02.410"|"2.83"|"Seconds later, modernized buildings are erected."
"00:03:02.410"|"00:03:06.590"|"4.18"|"Rob notices things flying around, and Gail identifies them as airplanes."
"00:03:06.590"|"00:03:11.520"|"4.93"|"As more skyscrapers are built, Gail believes that the miniature people have reached the present time."
"00:03:11.520"|"00:03:17.060"|"5.54"|"Rob confirms this when he sees a Starbucks store and comments that the cafe really pops out everywhere."
"00:03:17.060"|"00:03:20.780"|"3.72"|"Just then, he notices something weird, so he takes a closer look."
"00:03:20.780"|"00:03:24.810"|"4.03"|"Suddenly, a missile falls into the middle of the city and explodes."
"00:03:24.810"|"00:03:29.520"|"4.71"|"The explosion blinds Rob, making him back away and fall onto the floor."
"00:03:29.520"|"00:03:36.250"|"6.73"|"Gail helps him up and tells him to calm down, but Rob panics, exclaiming that tactical nukes are exploding in their freezer."
"00:03:36.250"|"00:03:41.500"|"5.25"|"However, Rob's face is as red as a tomato, and Gail could barely keep a straight face."
"00:03:41.500"|"00:03:46.690"|"5.19"|"As the freezer explodes with huge nuclear bombs, Gail hands a shiny toaster to her husband,"
"00:03:46.690"|"00:03:50.840"|"4.15"|"letting him see how the heat from the explosion caused his face to glow red."
"00:03:50.840"|"00:03:55.270"|"4.43"|"Rob groans, but then he notices that the situation in the freezer just became worse."
"00:03:55.270"|"00:03:59.450"|"4.18"|"The couple stares at it as they hear screams, gunshots, and explosions."
"00:03:59.450"|"00:04:05.450"|"6.0"|"With this, Gail closes the freezer and says that the people can't possibly outgrow war in a couple of minutes."
"00:04:05.450"|"00:04:10.530"|"5.08"|"Hearing this, Rob asks what they should do, and Gail responds that they should order pizza."
"00:04:10.530"|"00:04:15.640"|"5.11"|"Later that night, the couple has pizza for dinner while they wait for the situation to die down."
"00:04:15.640"|"00:04:19.410"|"3.77"|"An hour has passed, and Rob recommends that they should check out the freezer."
