"st_flt"|"en_flt"|"txt"|"hash"|"pl"
"1.54"|"30.42"|" Today, I'm going to explain a sci-fi and fantasy show called ""Love, Death &amp; Robots: Ice Age.” Spoilers ahead! A young couple moves into their new apartment. As Rob, the husband, brings a few boxes up into the place, his wife, Gail, tells him about a funky old refrigerator in the corner that the landlord left behind. Rob finds it fascinating, noting how the motor is above instead of underneath like refrigerators these days."|"13a1d38254d8f6ec26bf82e4a956dbc21e6fb3ff98e8981925d45add461fd3e4"|"Dzisiaj opowiem o serialu science-fiction i fantasy zatytułowanym „Miłość, śmierć i roboty: Epoka lodowcowa”. Spoilery przed nami! Młoda para wprowadza się do nowego mieszkania. Rob, mąż, wnosi do mieszkania kilka pudeł, a jego żona, Gail, opowiada mu o odstręczającej starej lodówce w rogu, którą zostawił właściciel. Rob znajduje to fascynujące, biorąc pod uwagę fakt, że silnik znajduje się powyżej, a nie pod spodem, jak w dzisiejszych lodówkach."
"30.42"|"63.6"|" Since hot air rises, he comments that it doesn’t make sense to put the motor underneath, allowing the hot air it produces to go up the refrigerator. However, Gail barely pays attention, and she simply agrees to the things Rob says. She then brings out a bottle of wine and asks her husband if he wants to drink. Rob gets excited and opens the old fridge to get some ice. However, the freezer is bulked up with frost, but he still manages to get a little cube of ice. The couple then makes a short toast to their new life together. Before Rob could take a sip of his drink, he notices something inside the ice."|"df4581a539947bd7dacb36fd98194d75aa47c9be31e3db4723e1c8422f117b91"|"Ponieważ gorące powietrze unosi się, komentuje, że nie ma sensu umieszczać silnika pod spodem, pozwalając wytwarzanemu przez niego gorącemu powietrzu unosić się w górę lodówki. Jednak Gail ledwo zwraca na to uwagę i po prostu zgadza się na to, co mówi Rob. Następnie wyciąga butelkę wina i pyta męża, czy chce się napić. Rob jest podekscytowany i otwiera starą lodówkę, żeby wziąć trochę lodu. Jednak zamrażarka jest wypełniona szronem, ale wciąż udaje mu się zdobyć małą kostkę lodu. Następnie para wznosi krótki toast za ich nowe wspólne życie. Zanim Rob zdążył wypić łyk swojego drinka, zauważa coś w lodzie."
"63.6"|"94.54"|" He takes it out of the glass and shows it to Gail, asking her to confirm what’s inside the ice cube. Gail looks closer and becomes just as surprised as her husband. Wanting to confirm what she saw, Gail grabs a magnifying glass to inspect the ice cube closely. Surprisingly, inside it is a miniature mammoth with spears in its body. Gail wonders if there are more of these things in the freezer, so she opens it. She quickly takes out the junk inside and gets shocked by what she sees. With this, Rob takes a peek and comments there's a lost civilization in their refrigerator."|"692a8c7b5169495d0eada43e0b5fcbb0201159a770f39768ccc05e18ccd3508a"|"Wyjmuje go ze szklanki i pokazuje Gail, prosząc ją o potwierdzenie zawartości kostki lodu. Gail przygląda się bliżej i jest tak samo zaskoczona jak jej mąż. Chcąc potwierdzić to, co zobaczyła, Gail chwyta szkło powiększające, aby dokładnie przyjrzeć się kostce lodu. Co zaskakujące, w środku znajduje się miniaturowy mamut z włóczniami w ciele. Gail zastanawia się, czy w zamrażarce jest więcej takich rzeczy, więc ją otwiera. Szybko wyjmuje śmieci ze środka i jest zszokowana tym, co widzi. Rob rzuca okiem i komentuje, że w ich lodówce jest zaginiona cywilizacja."
"94.54"|"121.84"|" True enough, the freezer contains a miniature, working medieval city. Everything inside moves so fast, with the little people going through their day normally, unaffected by the two giants hovering near their city. In disbelief, Gail claims that what’s happening doesn’t make sense, and Rob agrees. She then clarifies that they're seeing an early medieval city when woolly mammoths died out sometime in the late Neolithic period. Rob shrugs it off and simply agrees with his wife to hide his ignorance."|"f0f3b716ace4335d99d7f604c83eecc314524c18f44a4f04555a276c76d77f4a"|"To prawda, że ​​​​zamrażarka zawiera miniaturowe, działające średniowieczne miasto. Wszystko w środku porusza się tak szybko, a mali ludzie przeżywają normalnie swój dzień, niewrażliwi na dwóch gigantów unoszących się w pobliżu ich miasta. Z niedowierzaniem Gail twierdzi, że to, co się dzieje, nie ma sensu, a Rob się zgadza. Następnie wyjaśnia, że ​​widzą wczesnośredniowieczne miasto, w którym mamuty włochate wymarły w późnym okresie neolitu. Rob wzrusza ramionami i po prostu zgadza się z żoną, aby ukryć swoją ignorancję."
"121.84"|"150.68"|" Later on, Rob buries the frozen mammoth in a pot of dirt. Rob seems sad about it, so Gail lightens up the mood and says that it'll probably make for a good fertilizer. Curiosity takes over, and the two check the freezer again. To their surprise, everything has changed drastically. What used to be a medieval city is now a modernized place during the Industrial Revolution. Factories and railroads are built, covering the freezer’s sky with smoke. The couple notes that they’ve only been gone for ten minutes, but decades have already"|"f43eaae1a5ac4c979ffaef28f4d28edf871dca33d95d8aafeb91cee055110311"|"Później Rob zakopuje zamrożonego mamuta w garnku z ziemią. Rob wydaje się być z tego powodu smutny, więc Gail poprawia nastrój i mówi, że prawdopodobnie będzie to dobry nawóz. Ciekawość bierze górę i obaj ponownie sprawdzają zamrażarkę. Ku ich zaskoczeniu wszystko diametralnie się zmieniło. To, co kiedyś było średniowiecznym miastem, jest teraz zmodernizowanym miejscem podczas rewolucji przemysłowej. Powstają fabryki i linie kolejowe, zasłaniając mroźne niebo dymem. Para zauważa, że ​​nie było ich tylko przez dziesięć minut, ale minęło już dziesięciolecia"
"150.68"|"182.41"|" gone by for the miniature people. With this, Gail theorizes that time moves differently inside the freezer. As they witness the Industrial Revolution at great speed, Rob is disappointed that they missed the Renaissance period. He notices two miniature men sitting by a building under construction and wonders if the people perceive them as gods. However, the men are actually making fun of them, seeing them as weird faces in the sky that are staring at the city. One man even comments that he's tired of seeing the broccoli that's stuck in Gail's teeth. Seconds later, modernized buildings are erected."|"dc77a5a1238f4361342aaa836893a4c4136e0f1eee0a14f525a36b68084d5018"|"minął dla miniaturowych ludzi. Dzięki temu Gail wysuwa teorię, że czas płynie inaczej w zamrażarce. Będąc świadkami rewolucji przemysłowej w szybkim tempie, Rob jest rozczarowany, że przegapili okres renesansu. Zauważa dwóch miniaturowych mężczyzn siedzących przy budowanym budynku i zastanawia się, czy ludzie postrzegają ich jako bogów. Jednak mężczyźni tak naprawdę nabijają się z nich, widząc je jako dziwne twarze na niebie, które wpatrują się w miasto. Jeden mężczyzna komentuje nawet, że jest zmęczony patrzeniem na brokuły, które utknęły w zębach Gail. Sekundę później powstają zmodernizowane budynki."
"182.41"|"216.25"|" Rob notices things flying around, and Gail identifies them as airplanes. As more skyscrapers are built, Gail believes that the miniature people have reached the present time. Rob confirms this when he sees a Starbucks store and comments that the cafe really pops out everywhere. Just then, he notices something weird, so he takes a closer look. Suddenly, a missile falls into the middle of the city and explodes. The explosion blinds Rob, making him back away and fall onto the floor. Gail helps him up and tells him to calm down, but Rob panics, exclaiming that tactical nukes are exploding in their freezer."|"770775aa5529dca4a5ebf0b5876c48ebb720735faea8a58a83ead0d60c1788e3"|"Rob zauważa latające rzeczy, a Gail identyfikuje je jako samoloty. Ponieważ powstaje coraz więcej drapaczy chmur, Gail uważa, że ​​miniaturowi ludzie osiągnęli teraźniejszość. Rob potwierdza to, gdy widzi sklep Starbucks i komentuje, że kawiarnia naprawdę wyskakuje wszędzie. W tym momencie zauważył coś dziwnego, więc przyjrzał się bliżej. Nagle pocisk wpada w środek miasta i eksploduje. Eksplozja oślepia Roba, zmuszając go do cofnięcia się i upadku na podłogę. Gail pomaga mu wstać i każe mu się uspokoić, ale Rob panikuje, wykrzykując, że taktyczne bomby atomowe eksplodują w ich zamrażarce."
"216.25"|"245.45"|" However, Rob's face is as red as a tomato, and Gail could barely keep a straight face. As the freezer explodes with huge nuclear bombs, Gail hands a shiny toaster to her husband, letting him see how the heat from the explosion caused his face to glow red. Rob groans, but then he notices that the situation in the freezer just became worse. The couple stares at it as they hear screams, gunshots, and explosions. With this, Gail closes the freezer and says that the people can't possibly outgrow war in a couple of minutes."|"b69b1b24813e2cce73372e3557f6f5d6ea853a6e2ba7ddedbd16854e77718996"|"Jednak twarz Roba jest czerwona jak pomidor, a Gail ledwo może zachować powagę. Gdy zamrażarka eksploduje ogromnymi bombami nuklearnymi, Gail podaje mężowi lśniący toster, pozwalając mu zobaczyć, jak ciepło z eksplozji spowodowało, że jego twarz zaświeciła się na czerwono. Rob jęczy, ale potem zauważa, że ​​sytuacja w zamrażarce właśnie się pogorszyła. Para wpatruje się w to, słysząc krzyki, strzały i eksplozje. Po tym Gail zamyka zamrażarkę i mówi, że ludzie nie mogą wyrosnąć z wojny w ciągu kilku minut."
"245.45"|"274.76"|" Hearing this, Rob asks what they should do, and Gail responds that they should order pizza. Later that night, the couple has pizza for dinner while they wait for the situation to die down. An hour has passed, and Rob recommends that they should check out the freezer. He hopes that the miniature people had a chance to rebuild their city, but Gail gently tells him that they need to embrace the possibility that they didn't make it. Still, Rob goes to the freezer and opens it anyway. To their surprise, the freezer glows with luminous cities and flying cars."|"7a44437d4c6bf370b327b76a059293fccfb07bf359747db7db971ee3ce9d864a"|"Słysząc to, Rob pyta, co powinni zrobić, a Gail odpowiada, że ​​powinni zamówić pizzę. Później tej nocy para je pizzę na kolację, czekając, aż sytuacja się uspokoi. Minęła godzina i Rob radzi, żeby sprawdzili zamrażarkę. Ma nadzieję, że miniaturowi ludzie mieli szansę odbudować swoje miasto, ale Gail delikatnie mówi mu, że muszą zaakceptować możliwość, że im się nie udało. Mimo to Rob idzie do zamrażarki i mimo to ją otwiera. Ku ich zaskoczeniu zamrażarka świeci świetlistymi miastami i latającymi samochodami."
"274.76"|"302.8"|" Gail claims that it looks like the Emerald City, but with less emerald and more futuristic devices. The sight of this makes Rob ecstatic, marveling at how beautiful everything is. Suddenly, a building emerges right in front of them, and Rob jokes that it looks like an adult toy. Just then, everything escalates, and a massive pyramid appears in the middle of the futuristic city. It glows brightly and consumes power from the bridges attached to it. Eventually, it turns into a diamond-shaped fortress and consumes the whole city until"|"3c7846371299f93ee6b3493776ce04de3754c84b098bfbb77c17d5fea5358710"|"Gail twierdzi, że wygląda jak Szmaragdowe Miasto, ale ma mniej szmaragdowych i bardziej futurystycznych urządzeń. Ten widok wprawia Roba w ekstazę, podziwiając, jakie to wszystko jest piękne. Nagle tuż przed nimi wyłania się budynek, a Rob żartuje, że wygląda jak zabawka dla dorosłych. Właśnie wtedy wszystko się eskaluje, a pośrodku futurystycznego miasta pojawia się potężna piramida. Świeci jasno i pobiera energię z podłączonych do niego mostów. W końcu zamienia się w fortecę w kształcie rombu i pochłania całe miasto, aż do czasu"
