""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"0"|""|"00:00:01.770"|"00:33:05.190"|"1.77"|"1985.19"|"1983.42"|"[Muzyka] [Muzyka] na południowym krańcu kontynentu australijskiego <--pause--> z dziewiczymi rzekami z dziewiczymi rzekami [Muzyka] [Muzyka] <--pause--> [Muzyka] <--pause--> jego zwierzęcy mieszkańcy są  jego zwierzęcy mieszkańcy są  niezwykli niezwykli [Muzyka] [Muzyka] <--pause--> gdzie światła tańczą na południowym niebie, <--pause--> to jest tasmania dziwna i cudowna alejka [muzyka] <--pause--> australia tak, <--pause--> była kiedyś połączona z suchym kontynentem australijskim kontynentem australijskim [muzyka] [muzyka] j wraz z jej roślinami i zwierzętami <--pause--> chociaż leży na południu tasmania to inny świat, jej izolacja i chłodniejszy klimat stworzyłysanktuarium niepodobne do żadnej innej części australii części australii [muzyka], [muzyka], a silny cykl sezonowy sprawia, że ​​życie tutaj jest naprawdę inne tutaj jest naprawdę inne [muzyka] [muzyka] <--pause--> żywe w ch Tasmanii są [Muzyka] [Muzyka] to ostatnie lądowisko zmierzające na południe przed Antarktydą przed Antarktydą [Muzyka] [Muzyka] zimne powietrze z dalszego południa przynosi opady śniegu i mrozy przez te zimowe miesiące przez te zimowe miesiące [Brawa] [Brawa] [Brawa] [Muzyka] [Muzyka]  zwierząt takich jak ta samicawombat to gatunek australijski, ale jego zwyczaje i styl życia są <--pause--> po drugiej stronie tej wyspy po drugiej stronie tej wyspy bezdroża [Muzyka] [Muzyka] nawet niżej w lasach tasmanii temperatura może spaść  zera temperatura może spaść  zera [Muzyka] [Muzyka] [Muzyka] [Brawa] [Brawa] [Brawa] [Muzyka [Muzyka ] si europejczycy, którzy eksplorowali te ] si europejczycy, którzy eksplorowali te lasy, lasy, twierdzili, że słyszeli w nocy krzyki diabłów [Muzyka] [Muzyka] i tak najbardziej tasmańskasłynne zwierzę ma i tak najbardziej tasmańskasłynne zwierzę ma swoją <--pause--> [Muzyka] [Muzyka] przede wszystkim padlinożercy potrafią wyczuć zwłoki z pół milisposób i w stosunku do wielkości ciała mają najpotężniejszy kęs w świecie przyrody [Muzyka] [Muzyka] [Brawa] [Brawa] [Brawa] [Muzyka] [Brawa] <--pause--> diabły żyły kiedyś w całej Australii, ale zniknęły, gdy kontynent wyschł j j [Muzyka] <--pause--> jak większość australijskich ssaków ich jak większość australijskich ssaków ich torbacze, <--pause--> chociaż mogą wyglądać jak psy, diabły są bliżej spokrewnione z kangurami niż z psami i będąc torbaczami, kilka tygodni temu wychowują swoje <--pause--> ta samica urodziła 40młode urodziła 40młode [Muzyka] [Muzyka] każde wielkości ziarnka ryżu każde wielkości ziarnka ryżu [Muzyka] [Muzyka] w jej torebce ma tylko cztery smoczki więc tylko cztery młode przeżyją więc tylko cztery młode przeżyją [Muzyka [Muzyka ] diabelski wyścig o przetrwanie zaczyna się  ] diabelski wyścig o przetrwanie zaczyna się  [Muzyka] [Muzyka] to ciężki początek, ale ta mama wytrzymapoświęciła większość swojego roku na opiekę nad czwórką dzieci, <--pause--> , pokonała ne przeciwności, by osiągnąć , pokonała ne przeciwności, by osiągnąć dorosłość, dorosłość, z jej kolej, by wychować następne z jej kolej, by wychować następne pokolenie [Muzyka] [Muzyka] torbacze jak diabły lJestem tutaj, ponieważ tasmania była kiedyś połączona z <--pause--> a jej mieszkańcy zostali odizolowani jakieś 12 000 lat temu, kiedy <--pause--> ale tasmania jest oknem na  bardziej żytną przeszłość żytną przeszłość [Muzyka] [Muzyka] niektóre z tych lasów mająnie się zmieniło, odkąd dinozaury chodziły po ziemi, kiedy południowe kontynenty były <--pause-->  żyje tutaj stworzenie, którego przodkowie wędrowali po tym żytnym przodkowie wędrowali po tym żytnym kontynencie [Muzyka <--pause--> ] żyje w rzekach tasmanii i jest jednym z najdłużej żyjących na wyspie <--pause--> [Muzyka] [Muzyka] [Brawa] [Brawa] ważące do pięciu kilogramów i metr ważące do pięciu kilogramów i metr ści ści są największymi wodnymi bezkręgowcami na naszej planecie, <--pause--> ale nie  wolne od ale nie  wolne od zagrożeń zagrożeń zagrożeń [Muzyka] [Muzyka] <--pause--> ogromne aż  heabardziej niż <--pause--> , jest to przystosowanie do chłodniejszego południowego klimatu południowego klimatu [Muzyka] <--pause--> ten samiec poluje na małe bezkręgowce znalezione w korycie rzeki, w tym młode znalezione w korycie rzeki, w tym młode homary homary homary [Muzyka] [Muzyka] [Muzyka] [Oklaski] <--pause--> i aby nie zmarznąć <--pause--> których potrzebujeporuszanie się bez dużych drapieżników, które mogłyby je niepokoić dziobaki poruszają się tutaj w niezwykły dziobaki poruszają się tutaj w niezwykły sposób <--pause--> tylko na tasmanii dziobak chodzi [Muzyka] [Muzyka] poza wodą  zrozumieć, dlaczego dziobak został kiedyś odrzucony jako oszustwo dziełomistyfikator oszustwo dziełomistyfikator [Muzyka] [Muzyka], [Muzyka], <--pause--> jego dziwne połączenie części ciała <--pause-->  gdy jego przypominające wydry futro utrzymuje go w cieple  gdy jego przypominające wydry futro utrzymuje go w cieple [Muzyka] [Muzyka] <--pause--> ale dziobak jest najbardziej znany ze swojego <--pause--> [Muzyka] [Muzyka] <--pause--> ale około 40 000 receptorów w dziobie wykrywa znak elektrycznywydzielane przez mięśnie zwierząt drapieżnych przez mięśnie zwierząt drapieżnych [Muzyka], [Muzyka], które muszą dużo jeść, aby się ogrzać, dziobak może polować przez [Muzyka], <--pause--> chociaż na kontynencie tasmańskim dziobaki są  największe i najjsze największe i najjsze [Muzyka <--pause--> ] jak inni są przystosowane do <--pause--> tasmania jest otoczona rozległą przestrzenią otwartego oceanu przestrzenią otwartego oceanu [Muzyka] [Muzyka] [Muzyka] na zachód od następnego wyjścia na lądczy Ameryka Południowa jest <--pause--> oddalona o tysiące mil oddalona o tysiące mil [Muzyka] [Muzyka] na południu leży wielki kontynent antarktyczny leży wielki kontynent antarktyczny [Muzyka] <--pause--> i gdy zima dobiega końca, nowi przybysze schodzą na brzeg, aby rozmnażać nowi przybysze schodzą na brzeg, aby rozmnażać [Muzyka] pingwiny pingwiny ukryte wśród skał ta samica ma dwa  wyklute pisklęta, <--pause--> jej partner wyszedł jakieś 14 godzin temu <--pause--> on jest na rybach, ale w przeciwieństwie do innych pingwinów  czekać do zmroku, aby opuścić <--pause--> mewy wodne i ptaki drapieżne patrolujące wybrzeże za dnia <--pause--> , ponieważ są to małe , ponieważ są to małe pingwiny, mierzące <--pause--> za 30 centymetrów, są <--pause--> a ich gniazda znajdują się kilkaset metrów w a ich gniazda znajdują się kilkaset metrów w głąb lądu. głąb lądu. ść ść [Muzyka] [Muzyka] ich bezpieczeństwo w liczbach ich bezpieczeństwo w liczbach [Muzyka] <--pause--> z setkami gniazd w kolonii noc  wypełni się nawoływaniami noc  wypełni się nawoływaniami powracających <--pause--> dorosłych odgłos wczesnej wiosny na wybrzeżu Tasmanii [Muzyka] ja [Brawa] [Muzyka] [Muzyka] to będziePowitalny posiłek dla <--pause--> piskląt Obecność małego pingwina przypomina o ści Antarktydy przypomina o ści Antarktydy [Oklaski] [Oklaski] Ale chociaż wczesna wiosna sprowadza je na brzeg w celu rozmnażania się , przynosi też dziką i nieprzewidywalną , przynosi też dziką i nieprzewidywalną pogodę <--pause--> Przeważające wiatry przenoszą większość złej pogody z zachodu pogody z zachodu [Muzyka] [Muzyka] <--pause--> i góry Tasmanii powodują, że większość deszczu spada na zachodnią <--pause--> w wyniku czego Tasmania dzieli się na dwie części z wilgotną zachodnią stroną i suchą wschodnią stroną wschodnią stroną [Muzyka] [Muzyka] <--pause--> niektóre zachodnie obszary należą do najbardziej mokrych <--pause--> [Muzyka], [Muzyka], a cała woda zapewnia zaskakujący a cała woda zapewnia zaskakujący spektakl [Muzyka] <--pause--> złapane w dziwaczną pułapkę, <--pause--> jak utknęły, dopiero wychodzi na jaw gdy zapada noc gdy zapada noc [Muzyka] <--pause--> te dziwne światła należą do <--pause--> komara światło powstaje w wyniku reakcji chemicznej w odwłoku larwy i można <--pause--> lepkie nitki zwisają z jego jedwabnego i <--pause--> owady przyciągane do światła są łapane w sidła, a  pożerane a  pożerane [Muzyka] <--pause--> każda nitka robaczków świętojańskich składa się  wy z wody, więc obfite opady deszczu na mokrym [Muzyka] <--pause--> jarzębina <--pause-->  rosnące drzewa, które wyewoluowały na suchym kontynencie australijskim na tasmanii <--pause-->  jak na drzewa livw wilgotnym  jak na drzewa livw wilgotnym lesie lesie <--pause--> rozmnażać jarzębina przechowuje nasiona w <--pause--> pod popiołem, na którym żyją nasiona  kiełkują bez konkurencji <--pause--> ma to sens w suchym środowisku z <--pause--> [Muzyka] [Muzyka] młode jarzębiny mogą rosnąć w tempie [Muzyka] <--pause--> wszystko co je powstrzymuje to kolejny pożar lub brak wody pożar lub brak wody [Muzyka] [Muzyka] i to jest sekret ich [Oklaski] <--pause--> w wilgotnych zachodnich pożarach Tasmanii jest tak rzadkie, że te drzewa rosną od rzadkie, że te drzewa rosną od wieków [Brawa] [Brawa] te, które stoją w tej dolinie, wszystkie wykiełkowały po tym samym <--pause--> j sięgają  100 metrów [Muzyka] <--pause--> mogąwyewoluowały na suchym kontynencie australijskim, ale to wilgotne lasy Tasmanii zmieniły jarzębiny w najwyższe kwitnące [Muzyka <--pause--> ] obciążony wilgociąir, który wieje z zachodu Tasmanii, przynosi kilka metrów opadów każdego przynosi kilka metrów opadów każdego roku, <--pause--> chociaż może padać przez większość dni zima i wiosna to najbardziej mokre pory, <--pause--> wszyscy, którzy tu mieszkają, muszą przystosować się do regularnych ulew i niższych temperatur [Muzyka] [Muzyka] ijak  gatunków tasmanii, ich adaptacje wyróżniają je ich adaptacje wyróżniają je [Muzyka] [Muzyka] [Muzyka] [Brawa] [Brawa] [Brawa] [Muzyka <--pause--> ] może na to nie wyglądać, ale jest to <--pause--> dziobaka echidna najbardziej rozpowszechniony rodzimy ssak Australii, <--pause--> ale  gdy kolczatki kontynentalne są kolcamiten tasmański jest w większości pokryty włosami, aby było mu  pokryty włosami, aby było mu  [Muzyka] [Muzyka] łajsze wiosenne miesiące oznaczają obfitość jego ulubionych obfitość jego ulubionych mrówek, <--pause--> ale kiedy jesteś tak owłosiony, jedzenie utknie , co jest uciążliwe, gdy może się odgryźć gdy może się odgryźć [Muzyka] [Muzyka] czas ruszać  czas ruszać  [Muzyka] [Muzyka] [Muzyka] gdy wiosna zamienia się w lato , mieszkańcy Tasmanii mogą odpocząć <--pause--> pogody, z młode diabły sągotowe <--pause--> przez jakiś czas <--pause--> pełni odsadzone od piersi to początek ich pełni odsadzone od piersi to początek ich niezależności, <--pause--> ta młoda samica będzie ała nauczyć się, jak <--pause--> co więceji jej rodzeństwo są  <--pause--> to będzie jej sposób na uniknięcie niebezpieczeństwa to będzie jej sposób na uniknięcie niebezpieczeństwa [Muzyka] [Muzyka] cięższe dorosłe osoby nie mogą się wspinać, więc są [Muzyka] w <--pause--> ciągu najbliższych kilku miesięcy będzież znaleźć dużo pożywienia, którego potrzebuje tutaj, [Muzyka], [Muzyka], ale same larwy i ptasie jaja nie <--pause--> jeśli ma dożyć dorosłości, <--pause--> a to przynosiw bezpośrednią rywalizację z niebezpiecznymi i <--pause--> diabłami zapach i dźwięk chrupiących kości <--pause--> jeśli ma przeżyć, mniej niż połowa wszystkich  odstawionych od piersi młodych osobników dożywa dorosłości nieeds, aby zasłużyć na swoje miejsce , nie wiadomo, jak ta dorosła osoba może , nie wiadomo, jak ta dorosła osoba może zareagować, <--pause--> konfrontacja z nieznajomym przy zwłokach to konfrontacja z nieznajomym przy zwłokach to ryzyko, <--pause--> [Muzyka] <--pause--> pobudzona głodem wydaje się [Muzyka] [Muzyka] [Oklaski] [Oklaski] [Oklaski] [Muzyka] [Muzyka] <--pause--> wygląda na to, że jej hazard się wygląda na to, że jej hazard się opłacił, opłacił, ale jej konkurent nie puszcza tuszy, ale jej konkurent nie puszcza tuszy, tak <--pause-->  dorosły mógłby ją zabić zlewem lub  dorosły mógłby ją zabić zlewem lub ugryzieniem, ugryzieniem, ale tak nie działa diabelskie społeczeństwo ale tak nie działa diabelskie społeczeństwo [Muzyka] <--pause--> po życiawiększość ich życia  <--pause--> się bronią tylko ilości mięsa, którą <--pause--> porządek dziobania ma mniej wspólnego z rozmiarem i , a więcej z tym, <--pause--> ponieważ ten młodzieniec się uczychodzi <--pause--> może mieć przerażającą reputację, [Muzyka] [Muzyka] lato przynosi cieplejsze temperatury na całej lato przynosi cieplejsze temperatury na całej Tasmanii, <--pause-->  gdy na zachodzie  pada  gdy na zachodzie  pada  <--pause--> lato jest najbardziej widoczne  suchej <--pause--> na najbardziej suchych obszarach tasmanii pada o 80 mniej opadów niż na najbardziej mokrych mniej opadów niż na najbardziej mokrych [muzyka] <--pause--> tutaj krajobraz bardziej [muzyka] <--pause--> cztery torbacze pasące się na otwartych łąkach jest mnóstwo świeżych pędówciepłe letnie miesiące pędówciepłe letnie miesiące [Muzyka] <--pause--> i chociaż życie tutaj może wydawać się bardziej  australijskie, efekt izolacji Tasmanii jest   odczuwalny w tej suchej części wyspy części wyspy [Muzyka] [Muzyka] to nadaje tej grupie kangurów coś w rodzaju tasmańskiego akcentu coś w rodzaju tasmańskiego akcentu [Muzyka [Muzyka [Muzyka]"
"1"|""|""|""|""|""|""|"<--pause-->"
"2"|""|""|""|""|""|""|"około 100 z nich żyje w tej"
"3"|""|""|""|""|""|""|"około 100 z nich żyje w tej populacji"
"4"|""|""|""|""|""|""|"populacji"
"5"|""|""|""|""|""|""|"populacji [Muzyka]"
"6"|""|""|""|""|""|""|"<--pause-->"
"7"|""|""|""|""|""|""|"są tak  zakamuflowane,"
"8"|""|""|""|""|""|""|"<--pause-->"
"9"|""|""|""|""|""|""|"na Tasmanii z ścią zostałyby zabite, jednak nie ma"
