""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"0"|"1"|"00:00:07.519"|"00:00:15.000"|"7.52"|"15.0"|"7.48"|"at the southern tip of the australian continent lies a remote island"
"1"|"1"|"00:00:17.199"|"00:00:20.480"|"17.2"|"20.48"|"3.28"|"an immense wilderness"
"2"|"1"|"00:00:21.199"|"00:00:24.800"|"21.2"|"24.8"|"3.6"|"divided by mountains"
"3"|"1"|"00:00:27.760"|"00:00:32.240"|"27.76"|"32.24"|"4.48"|"it's a world of ancient forests"
"4"|"1"|"00:00:32.960"|"00:00:36.320"|"32.96"|"36.32"|"3.36"|"of pristine rivers"
"5"|"1"|"00:00:36.320"|"00:00:39.280"|"36.32"|"39.28"|"2.96"|"and a coastline"
"6"|"1"|"00:00:39.359"|"00:00:44.039"|"39.36"|"44.04"|"4.68"|"that's both wild and beautiful"
"7"|"1"|"00:00:49.520"|"00:00:53.200"|"49.52"|"53.2"|"3.68"|"its animal inhabitants are as"
"8"|"1"|"00:00:51.679"|"00:00:57.000"|"51.68"|"57.0"|"5.32"|"extraordinary as they are bizarre"
"9"|"1"|"00:01:00.159"|"00:01:04.799"|"60.16"|"64.8"|"4.64"|"this is a land of black devils"
"10"|"1"|"00:01:05.359"|"00:01:08.560"|"65.36"|"68.56"|"3.2"|"and white wallabies"
"11"|"1"|"00:01:10.159"|"00:01:17.920"|"70.16"|"77.92"|"7.76"|"where lights dance in the southern sky and trees tower to 100 meters"
"12"|"1"|"00:01:22.239"|"00:01:27.599"|"82.24"|"87.6"|"5.36"|"this is tasmania"
"13"|"1"|"00:01:24.959"|"00:01:31.799"|"84.96"|"91.8"|"6.84"|"the weird and wonderful aisle at the bottom of the world"
"14"|"1"|"00:01:52.000"|"00:01:56.400"|"112.0"|"116.4"|"4.4"|"tasmania is full of surprises"
"15"|"1"|"00:01:57.359"|"00:02:02.560"|"117.36"|"122.56"|"5.2"|"australia yes but with a twist"
"16"|"1"|"00:02:05.680"|"00:02:09.259"|"125.68"|"129.26"|"3.58"|"it was once connected to the dry"
"17"|"1"|"00:02:07.760"|"00:02:10.639"|"127.76"|"130.64"|"2.88"|"australian mainland"
"18"|"1"|"00:02:10.639"|"00:02:17.280"|"130.64"|"137.28"|"6.64"|"today along with its plants and animals it's physically cut off"
"19"|"1"|"00:02:18.560"|"00:02:25.360"|"138.56"|"145.36"|"6.8"|"though it lies just to the south"
"20"|"1"|"00:02:21.039"|"00:02:28.000"|"141.04"|"148.0"|"6.96"|"tasmania is a world apart"
"21"|"1"|"00:02:25.360"|"00:02:30.800"|"145.36"|"150.8"|"5.44"|"its isolation and cooler climate has"
"22"|"1"|"00:02:28.000"|"00:02:32.729"|"148.0"|"152.73"|"4.73"|"created a sanctuary unlike any other"
"23"|"1"|"00:02:30.800"|"00:02:37.840"|"150.8"|"157.84"|"7.04"|"part of australia"
