""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"0"|"1"|"00:00:07.519"|"00:00:15.000"|"7.52"|"15.0"|""|"at the southern tip of the australian continent lies a remote island"
"1"|"1"|"00:00:17.199"|"00:00:20.480"|"17.2"|"20.48"|""|"an immense wilderness"
"2"|"1"|"00:00:21.199"|"00:00:24.800"|"21.2"|"24.8"|""|"divided by mountains"
"3"|"1"|"00:00:27.760"|"00:00:32.240"|"27.76"|"32.24"|""|"it's a world of ancient forests"
"4"|"1"|"00:00:32.960"|"00:00:36.320"|"32.96"|"39.28"|""|"of pristine rivers and a coastline"
"5"|"1"|"00:00:39.359"|"00:00:44.039"|"39.36"|"44.04"|""|"that's both wild and beautiful"
"6"|"1"|"00:00:49.520"|"00:00:53.200"|"49.52"|"57.0"|""|"its animal inhabitants are as extraordinary as they are bizarre"
"7"|"1"|"00:01:00.159"|"00:01:04.799"|"60.16"|"64.8"|""|"this is a land of black devils"
"8"|"1"|"00:01:05.359"|"00:01:08.560"|"65.36"|"68.56"|""|"and white wallabies"
"9"|"1"|"00:01:10.159"|"00:01:17.920"|"70.16"|"77.92"|""|"where lights dance in the southern sky and trees tower to 100 meters"
"10"|"1"|"00:01:22.239"|"00:01:27.599"|"82.24"|"91.8"|""|"this is tasmania the weird and wonderful aisle at the bottom of the world"
"11"|"1"|"00:01:52.000"|"00:01:56.400"|"112.0"|"116.4"|""|"tasmania is full of surprises"
"12"|"1"|"00:01:57.359"|"00:02:02.560"|"117.36"|"122.56"|""|"australia yes but with a twist"
"13"|"1"|"00:02:05.680"|"00:02:09.259"|"125.68"|"130.64"|""|"it was once connected to the dry australian mainland"
"14"|"1"|"00:02:10.639"|"00:02:17.280"|"130.64"|"137.28"|""|"today along with its plants and animals it's physically cut off"
"15"|"1"|"00:02:18.560"|"00:02:25.360"|"138.56"|"148.0"|""|"though it lies just to the south tasmania is a world apart"
"16"|"1"|"00:02:25.360"|"00:02:30.800"|"148.0"|"152.73"|""|"its isolation and cooler climate has created a sanctuary unlike any other"
"17"|"1"|"00:02:30.800"|"00:02:37.840"|"152.73"|"163.51"|""|"part of australia and the strong seasonal cycle makes life"
"18"|"1"|"00:02:40.879"|"00:02:50.639"|"163.51"|"175.52"|""|"here very different indeed winter means a struggle for survival"
"19"|"1"|"00:02:59.039"|"00:03:05.479"|"179.04"|"185.48"|""|"in tasmania's mountains there are meager pickings on offered"
"20"|"1"|"00:03:14.639"|"00:03:20.150"|"194.64"|"203.76"|""|"this is the last landfall heading south before antarctica"
"21"|"1"|"00:03:23.759"|"00:03:28.159"|"203.76"|"211.85"|""|"cold air from further south brings snowfall and freezing temperatures"
"22"|"1"|"00:03:28.159"|"00:03:31.939"|"211.85"|"211.94"|""|"throughout these winter months"
"23"|"1"|"00:03:36.800"|"00:03:41.919"|"216.8"|"224.48"|""|"many animals like this female wombat are australian species"
"24"|"1"|"00:03:41.919"|"00:03:48.159"|"224.48"|"228.16"|""|"but their habits and lifestyles are most definitely tasmanian"
"25"|"1"|"00:03:51.199"|"00:03:57.680"|"231.2"|"238.56"|""|"mainland wombats are largely nocturnal but here she feeds at any time of the"
"26"|"1"|"00:03:57.680"|"00:04:02.879"|"238.56"|"242.88"|""|"day kept warm by her thicker coat of fur"
"27"|"1"|"00:04:05.360"|"00:04:10.919"|"245.36"|"250.92"|""|"she must take every opportunity to find food"
"28"|"1"|"00:04:15.360"|"00:04:20.800"|"255.36"|"260.8"|""|"winter is felt right across this island wilderness"
"29"|"1"|"00:04:24.720"|"00:04:31.899"|"264.72"|"276.33"|""|"even lower down in tasmania's forests temperatures can fall below freezing"
"30"|"1"|"00:04:42.879"|"00:04:46.639"|"282.88"|"289.68"|""|"the first europeans to explore these forests"
"31"|"1"|"00:04:46.639"|"00:04:52.839"|"289.68"|"292.84"|""|"claimed they heard devils screaming in the night"
"32"|"1"|"00:05:03.839"|"00:05:10.600"|"303.84"|"310.6"|""|"and so tasmania's most famous animal got its name"
"33"|"1"|"00:05:13.439"|"00:05:17.639"|"313.44"|"317.64"|""|"the tasmanian devil"
"34"|"1"|"00:05:28.879"|"00:05:35.519"|"328.88"|"338.0"|""|"primarily scavengers they can smell a carcass from half a mile away"
"35"|"1"|"00:05:35.519"|"00:05:42.560"|"338.0"|"347.56"|""|"and relative to body size they have the most powerful bite in the natural world they can easily crunch through bone"
"36"|"1"|"00:05:59.439"|"00:06:05.120"|"359.44"|"368.32"|""|"devils once lived throughout australia but vanished as the continent dried out and humans arrived"
"37"|"1"|"00:06:09.360"|"00:06:14.240"|"369.36"|"374.24"|""|"today this is their last stronghold"
"38"|"1"|"00:06:17.759"|"00:06:22.839"|"377.76"|"382.84"|""|"like most australian mammals their marsupials"
"39"|"1"|"00:06:23.279"|"00:06:28.560"|"383.28"|"390.64"|""|"while they may appear dog-like devils are more closely related to kangaroos"
"40"|"1"|"00:06:28.560"|"00:06:32.800"|"390.64"|"395.84"|""|"than canines and being marsupial they rear their young in a pouch"
"41"|"1"|"00:06:37.519"|"00:06:42.350"|"397.52"|"403.52"|""|"a few weeks ago this female gave birth to 40 young"
"42"|"1"|"00:06:43.519"|"00:06:51.040"|"403.52"|"419.69"|""|"each the size of a grain of rice inside her pouch she has just four teats"
"43"|"1"|"00:06:55.920"|"00:07:05.519"|"419.69"|"434.96"|""|"so only four young will survive a devil's race for survival begins early"
"44"|"1"|"00:07:14.959"|"00:07:18.800"|"434.96"|"441.44"|""|"it's a tough start but this mum will dedicate most of her"
"45"|"1"|"00:07:18.800"|"00:07:24.160"|"441.44"|"444.16"|""|"year to looking after the four babies who survive"
"46"|"1"|"00:07:25.040"|"00:07:29.680"|"445.04"|"452.48"|""|"she overcame extraordinary odds to reach adulthood"
"47"|"1"|"00:07:29.680"|"00:07:35.199"|"452.48"|"455.2"|""|"now it's her turn to raise the next generation"
"48"|"1"|"00:07:39.839"|"00:07:44.959"|"459.84"|"468.24"|""|"marsupials like the devils live here because tasmania was once connected to mainland australia"
