""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"0"|"8"|"00:00:01.770"|"00:00:07.520"|"1.77"|"7.52"|"-2.07"|"[Muzyka]"
"1"|"16"|"00:00:07.520"|"00:00:09.589"|"7.52"|"9.589"|"-25.47"|"[Muzyka]"
"2"|"20"|"00:00:09.589"|"00:00:17.189"|"9.589"|"17.189"|"-34.48"|"na południowym krańcu kontynentu australijskiego"
"3"|"3"|"00:00:17.189"|"00:00:35.060"|"17.189"|"35.07"|"-38.12"|"<--pause-->"
"4"|"60"|"00:00:35.060"|"00:00:35.070"|"35.06"|"35.07"|"-49.88"|"z dziewiczymi rzekami"
"5"|"64"|"00:00:35.070"|"00:00:36.310"|"35.07"|"36.31"|"-51.28"|"z dziewiczymi rzekami [Muzyka]"
"6"|"68"|"00:00:36.310"|"00:00:39.350"|"36.31"|"39.35"|"-55.07"|"[Muzyka]"
"7"|"6"|"00:00:39.350"|"00:00:44.840"|"39.35"|"49.51"|"-70.08"|"<--pause-->"
"8"|"88"|"00:00:44.840"|"00:00:49.510"|"44.84"|"49.51"|"-78.24"|"[Muzyka]"
"9"|"7"|"00:00:49.510"|"00:00:51.670"|"49.51"|"51.68"|"-77.57"|"<--pause-->"
"10"|"100"|"00:00:51.670"|"00:00:51.680"|"51.67"|"51.68"|"-82.23"|"jego zwierzęcy mieszkańcy są "
"11"|"104"|"00:00:51.680"|"00:00:53.189"|"51.68"|"53.189"|"-87.84"|"jego zwierzęcy mieszkańcy są  niezwykli"
"12"|"108"|"00:00:53.189"|"00:00:58.510"|"53.189"|"58.51"|"-86.84"|"niezwykli"
"13"|"120"|"00:00:58.520"|"00:01:00.160"|"58.52"|"60.16"|"-87.83"|"[Muzyka]"
"14"|"128"|"00:01:00.160"|"00:01:05.350"|"60.16"|"65.35"|"-85.44"|"[Muzyka]"
"15"|"12"|"00:01:05.350"|"00:01:13.190"|"65.35"|"82.23"|"-70.49"|"<--pause-->"
"16"|"148"|"00:01:13.190"|"00:01:22.230"|"73.19"|"82.23"|"-78.64"|"gdzie światła tańczą na południowym niebie,"
"17"|"13"|"00:01:22.230"|"00:01:24.950"|"82.23"|"87.59"|"-75.91"|"<--pause-->"
"18"|"164"|"00:01:24.950"|"00:01:27.590"|"84.95"|"87.59"|"-94.16"|"to jest"
"19"|"172"|"00:01:27.590"|"00:01:34.410"|"87.59"|"94.41"|"-104.06"|"tasmania dziwna i cudowna alejka"
"20"|"184"|"00:01:34.420"|"00:01:51.990"|"94.42"|"111.99"|"-88.15"|"[muzyka]"
"21"|"16"|"00:01:51.990"|"00:01:59.590"|"111.99"|"125.67"|"-80.24"|"<--pause-->"
"22"|"204"|"00:01:59.590"|"00:02:05.670"|"119.59"|"125.67"|"-82.48"|"australia tak,"
"23"|"17"|"00:02:05.670"|"00:02:07.749"|"125.67"|"129.249"|"-82.59"|"<--pause-->"
"24"|"220"|"00:02:07.749"|"00:02:09.249"|"127.749"|"129.249"|"-82.68"|"była kiedyś połączona z suchym"
"25"|"228"|"00:02:09.249"|"00:02:09.259"|"129.249"|"129.259"|"-90.65"|"kontynentem australijskim"
"26"|"232"|"00:02:09.259"|"00:02:10.630"|"129.259"|"130.63"|"-91.28"|"kontynentem australijskim [muzyka]"
"27"|"236"|"00:02:10.630"|"00:02:13.910"|"130.63"|"133.91"|"-90.56"|"[muzyka]"
"28"|"244"|"00:02:13.910"|"00:02:18.550"|"133.91"|"138.55"|"-119.6"|"j wraz z jej roślinami i zwierzętami"
"29"|"22"|"00:02:18.550"|"00:02:21.030"|"138.55"|"145.35"|"-123.12"|"<--pause-->"
"30"|"260"|"00:02:21.030"|"00:02:25.350"|"141.03"|"145.35"|"-126.54"|"chociaż leży na południu"
"31"|"268"|"00:02:25.350"|"00:02:27.990"|"145.35"|"147.99"|"-128.33"|"tasmania to inny świat,"
"32"|"276"|"00:02:27.990"|"00:02:30.790"|"147.99"|"150.79"|"-126.84"|"jej izolacja i chłodniejszy klimat"
"33"|"284"|"00:02:30.790"|"00:02:32.720"|"150.79"|"152.72"|"-132.39"|"stworzyłysanktuarium niepodobne do żadnej innej"
"34"|"292"|"00:02:32.720"|"00:02:32.730"|"152.72"|"152.73"|"-136.94"|"części australii"
"35"|"296"|"00:02:32.730"|"00:02:37.830"|"152.73"|"157.83"|"-149.44"|"części australii [muzyka],"
"36"|"300"|"00:02:37.830"|"00:02:40.869"|"157.83"|"160.869"|"-170.64"|"[muzyka],"
"37"|"308"|"00:02:40.869"|"00:02:43.500"|"160.869"|"163.5"|"-172.01"|"a silny cykl sezonowy sprawia, że ​​życie"
