""|"no"|"st"|"en"|"st_flt"|"en_flt"|"dif"|"txt"
"0"|"8"|"00:00:01.770"|"00:00:07.510"|"1.77"|"7.51"|"5.74"|"[Muzyka]"
"1"|"12"|"00:00:07.510"|"00:00:07.520"|"7.51"|"7.52"|"0.009999999999999787"|"[Muzyka]"
"2"|"16"|"00:00:07.520"|"00:00:09.589"|"7.52"|"9.589"|"2.069000000000001"|"[Muzyka]"
"3"|"20"|"00:00:09.589"|"00:00:09.599"|"9.589"|"9.599"|"0.009999999999999787"|"na południowym krańcu kontynentu australijskiego"
"4"|"24"|"00:00:09.599"|"00:00:17.189"|"9.599"|"17.189"|"7.59"|"na południowym krańcu kontynentu australijskiego"
"5"|"60"|"00:00:35.060"|"00:00:35.070"|"35.06"|"35.07"|"0.00999999999999801"|"z dziewiczymi rzekami"
"6"|"64"|"00:00:35.070"|"00:00:36.310"|"35.07"|"36.31"|"1.240000000000002"|"z dziewiczymi rzekami [Muzyka]"
"7"|"68"|"00:00:36.310"|"00:00:36.320"|"36.31"|"36.32"|"0.00999999999999801"|"[Muzyka]"
"8"|"72"|"00:00:36.320"|"00:00:39.350"|"36.32"|"39.35"|"3.030000000000001"|"[Muzyka]"
"9"|"88"|"00:00:44.840"|"00:00:49.510"|"44.84"|"49.51"|"4.669999999999995"|"[Muzyka]"
"10"|"100"|"00:00:51.670"|"00:00:51.680"|"51.67"|"51.68"|"0.00999999999999801"|"jego zwierzęcy mieszkańcy są "
"11"|"104"|"00:00:51.680"|"00:00:53.189"|"51.68"|"53.189"|"1.5090000000000003"|"jego zwierzęcy mieszkańcy są  niezwykli"
"12"|"108"|"00:00:53.189"|"00:00:53.199"|"53.189"|"53.199"|"0.00999999999999801"|"niezwykli"
"13"|"112"|"00:00:53.199"|"00:00:58.510"|"53.199"|"58.51"|"5.311"|"niezwykli"
"14"|"120"|"00:00:58.520"|"00:01:00.150"|"58.52"|"60.15"|"1.6299999999999955"|"[Muzyka]"
"15"|"124"|"00:01:00.150"|"00:01:00.160"|"60.15"|"60.16"|"0.00999999999999801"|"[Muzyka]"
"16"|"128"|"00:01:00.160"|"00:01:05.350"|"60.16"|"65.35"|"5.189999999999998"|"[Muzyka]"
"17"|"148"|"00:01:13.190"|"00:01:13.200"|"73.19"|"73.2"|"0.010000000000005116"|"gdzie światła tańczą na południowym niebie,"
"18"|"152"|"00:01:13.200"|"00:01:22.230"|"73.2"|"82.23"|"9.030000000000001"|"gdzie światła tańczą na południowym niebie,"
"19"|"164"|"00:01:24.950"|"00:01:24.960"|"84.95"|"84.96"|"0.009999999999990905"|"to jest"
"20"|"168"|"00:01:24.960"|"00:01:27.590"|"84.96"|"87.59"|"2.6300000000000097"|"to jest"
"21"|"172"|"00:01:27.590"|"00:01:27.600"|"87.59"|"87.6"|"0.009999999999990905"|"tasmania dziwna i cudowna alejka"
"22"|"176"|"00:01:27.600"|"00:01:34.410"|"87.6"|"94.41"|"6.810000000000002"|"tasmania dziwna i cudowna alejka"
"23"|"184"|"00:01:34.420"|"00:01:51.990"|"94.42"|"111.99"|"17.569999999999993"|"[muzyka]"
"24"|"204"|"00:01:59.590"|"00:01:59.600"|"119.59"|"119.6"|"0.009999999999990905"|"australia tak,"
"25"|"208"|"00:01:59.600"|"00:02:05.670"|"119.6"|"125.67"|"6.070000000000007"|"australia tak,"
"26"|"220"|"00:02:07.749"|"00:02:07.759"|"127.749"|"127.759"|"0.010000000000005116"|"była kiedyś połączona z suchym"
"27"|"224"|"00:02:07.759"|"00:02:09.249"|"127.759"|"129.249"|"1.4899999999999949"|"była kiedyś połączona z suchym"
"28"|"228"|"00:02:09.249"|"00:02:09.259"|"129.249"|"129.259"|"0.009999999999990905"|"kontynentem australijskim"
"29"|"232"|"00:02:09.259"|"00:02:10.630"|"129.259"|"130.63"|"1.3710000000000093"|"kontynentem australijskim [muzyka]"
"30"|"236"|"00:02:10.630"|"00:02:10.640"|"130.63"|"130.64"|"0.009999999999990905"|"[muzyka]"
"31"|"240"|"00:02:10.640"|"00:02:13.910"|"130.64"|"133.91"|"3.2700000000000102"|"[muzyka]"
"32"|"244"|"00:02:13.910"|"00:02:13.920"|"133.91"|"133.92"|"0.009999999999990905"|"j wraz z jej roślinami i zwierzętami"
"33"|"248"|"00:02:13.920"|"00:02:18.550"|"133.92"|"138.55"|"4.630000000000024"|"j wraz z jej roślinami i zwierzętami"
"34"|"260"|"00:02:21.030"|"00:02:21.040"|"141.03"|"141.04"|"0.009999999999990905"|"chociaż leży na południu"
"35"|"264"|"00:02:21.040"|"00:02:25.350"|"141.04"|"145.35"|"4.310000000000002"|"chociaż leży na południu"
"36"|"268"|"00:02:25.350"|"00:02:25.360"|"145.35"|"145.36"|"0.010000000000019327"|"tasmania to inny świat,"
"37"|"272"|"00:02:25.360"|"00:02:27.990"|"145.36"|"147.99"|"2.6299999999999955"|"tasmania to inny świat,"
